Name,Developer,Producer,Genre,Operating System,Date Released
Unreal Tournament 3,Epic Games,Midway Games,First-person shooter,Microsoft Windows,19-Nov-07
Unreal Tournament 4,Epic Games,Epic Games,First-person shooter,"Microsoft Windows, Linux, macOS",13-Aug-14
Unturned,Nelson Sexton,Smartly Dressed Games,"Open-world, first-person shooter, RPG","Microsoft Windows, macOS",7-Jul-17
Valorant,Riot Games,Riot Games,First-person shooter,Microsoft Windows,2-Jun-20
Vampire: The Masquerade â€“ Bloodlines,Troika Games,Activision,Action role-playing,Microsoft Windows,16-Nov-04
Vampire: The Masquerade â€“ Redemption,Nihilistic Software,Activision,Role-playing,"Microsoft Windows, macOS",7-Jun-00
Victoria: An Empire Under The Sun,Paradox Development Studios,Paradox Development Studios,Grand strategy,"Microsoft Windows, macOS",2003
Victoria II,Paradox Development Studios,Paradox Interactive,Grand strategy,"Microsoft Windows, macOS",13-Aug-10
Vivisector: Beast Within,Action Forms,"1C, Brigades","First-person shooter, survival horror",Microsoft Windows,5-Jan-06
Voxatron,Lexaloffle Games,Lexaloffle Games,Action-adventure,"Microsoft Windows, Linux, macOS",31-Oct-11
War of the Lance,"Strategic Simulations, Inc.","Strategic Simulations, Inc.",Strategy,"MS-DOS, Apple II, Commodore 64",1-May-88
War of the Roses,Paradox Interactive,Fatshark,Action role-playing,Microsoft Windows,2-Oct-12
Warcraft: Orcs & Humans,Blizzard Entertainment,Blizzard Entertainment,RTS,"MS-DOS, macOS",23-Nov-94
Warcraft III: Reign of Chaos,Blizzard Entertainment,Blizzard Entertainment,RTS,"Microsoft Windows, macOS",3-Jul-02
Wargame: AirLand Battle,Eugen Systems,Focus Home Interactive,Real-time tactics,"Microsoft Windows, Linux, macOS",29-May-13
Wargame: European Escalation,Eugen Systems,Focus Home Interactive,Real-time tactics,"Microsoft Windows, Linux, macOS",22-Feb-12
Wargame: Red Dragon,Eugen Systems,Focus Home Interactive,Real-time tactics,"Microsoft Windows, Linux, macOS",17-Apr-14
"Warhammer 40,000: Dawn of War II",Relic Entertainment,THQ,Real-time tactics,Microsoft Windows,19-Feb-09
WARNO,Eugen Systems,Eugen Systems,Real-time tactics,Microsoft Windows,"January 20, 2022 (Early Access)"
Wasteland,Interplay Productions,Electronic Arts,RPG,"Commodore 64, Apple II, DOS, Microsoft Windows, Linux, macOS",1988
Wasteland 2,inXile Entertainment,Deep Silver,RPG,"Microsoft Windows, OS X, Linux",19-Sep-14
Wheels of Aurelia,Santa Ragione S.r.l.,Santa Ragione S.r.l.,Visual Novel,"Linux, Macintosh",20-Sep-16
White Night,OSome Studio,Activision,"Survival horror, noir",Microsoft Windows,3-Mar-15
Widelands,Widelands Development Team,Widelands Development Team,Widelands,"Linux, Macintosh, Windows",2-May-19
WildStar,Carbine Studios,NC Soft,MMORPG,Microsoft Windows,7-Jun-14
The Witcher,CD Projekt Red,Atari,Action role-playing,"Microsoft Windows, macOS",26-Oct-07
The Witcher 3: Wild Hunt,CD Projekt Red,Atari,Action role-playing,"Microsoft Windows, macOS",19-May-15
Wizards & Warriors,Heuristic Park,Activision,RPG,Microsoft Windows,27-Sep-00
World in Conflict,Massive Entertainment,"Sierra Entertainment (former), Ubisoft",Real-time tactics,Microsoft Windows,18-Sep-07
World in Conflict: Soviet Assault,Massive Entertainment,"Sierra Entertainment (former), Ubisoft",Real-time tactics,Microsoft Windows,10-Mar-09
World of Final Fantasy,Square Enix,Square Enix,Role-playing,"Microsoft Windows,",21-Nov-17
World of Goo,2D Boy,2D Boy,Puzzle,"Microsoft Windows, Linux, macOS",13-Oct-08
World of Tanks,Wargaming,Wargaming,"Action, MMO",Microsoft Windows,12-Apr-11
World of Warplanes,Wargaming,Wargaming,"Action, MMO",Microsoft Windows,13-Nov-13
World of Warcraft,Blizzard Entertainment,Blizzard Entertainment,Online role-playing game,"Microsoft Windows, macOS",23-Nov-04
World of Warcraft: Battle for Azeroth,Blizzard Entertainment,Blizzard Entertainment,Online role-playing game,"Microsoft Windows, macOS",14-Aug-18
World of Warcraft: The Burning Crusade,Blizzard Entertainment,Blizzard Entertainment,Online role-playing game,"Microsoft Windows, macOS",15-Jan-07
World of Warcraft: Cataclysm,Blizzard Entertainment,Blizzard Entertainment,Online role-playing game,"Microsoft Windows, macOS",7-Dec-10
World of Warcraft: Legion,Blizzard Entertainment,Blizzard Entertainment,Online role-playing game,"Microsoft Windows, macOS",30-Aug-16
World of Warcraft: Mists of Pandaria,Blizzard Entertainment,Blizzard Entertainment,Online role-playing game,"Microsoft Windows, macOS",25-Jul-12
World of Warcraft: Warlords of Draenor,Blizzard Entertainment,Blizzard Entertainment,Online role-playing game,"Microsoft Windows, macOS",13-Nov-14
World of Warcraft: Wrath of the Lich King,Blizzard Entertainment,Blizzard Entertainment,Online role-playing game,"Microsoft Windows, macOS",13-Nov-08
Xargon,Epic MegaGames,Epic MegaGames,Platform,DOS,15-Jan-94
X3: Terran Conflict,Egosoft,Egosoft,Space simulation,"Microsoft Windows, Linux, macOS",16-Oct-08
X-Plane,Laminar Research,Laminar Research,Flight simulator,"Microsoft Windows, Linux, macOS",1995
XCOM: Enemy Unknown,"Firaxis Games, Feral Interactive","2K Games, Feral Interactive","Turn-based tactics, tactical role-playing","Microsoft Windows, Linux, macOS",9-Oct-12
XCOM: Enemy Within,"Firaxis Games, Feral Interactive","2K Games, Feral Interactive",Turn-based tactics,"Microsoft Windows, Linux, macOS",12-Nov-13
Xenonauts,Goldhawk Interactive,Goldhawk Interactive,Turn-based tactics,"Microsoft Windows, Linux, macOS",17-Jun-14
XIII,Ubisoft Paris,Ubisoft,First-person shooter,"Microsoft Windows, macOS",18-Nov-03
Yakuza 0,SEGA,SEGA,"Action Adventure, Beat 'em up",Microsoft Windows,1-Aug-18
Yakuza 3 Remastered,SEGA,SEGA,"Action Adventure, Beat 'em up",Microsoft Windows,28-Jan-21
Yakuza 6: The Song of Life,SEGA,SEGA,"Action Adventure, Beat 'em up",Microsoft Windows,25-Mar-21
Yakuza Kiwami,SEGA,SEGA,"Action Adventure, Beat 'em up",Microsoft Windows,19-Feb-19
Yakuza Kiwami 2,SEGA,SEGA,"Action Adventure, Beat 'em up",Microsoft Windows,9-May-19
Yakuza: Like a Dragon,Ryu ga Gotoku Studio,SEGA,"Role-Playing Game, Beat 'em up",Microsoft Windows,10-Nov-20
Youtubers Life,U-Play online,U-Play online,"Life simulation, business simulation","Microsoft Windows, Linux, macOS",18-May-16
Yury,Cubic Pie,Cubic Pie,Action,Microsoft Windows,9-Dec-14
Z,The Bitmap Brothers,Virgin Interactive Entertainment,Real-time strategy,"MS-DOS, Microsoft Windows, macOS",31-Jul-96
Z: Steel Soldiers,The Bitmap Brothers,EON Digital Entertainment,Real-time strategy,Microsoft Windows,14-Jun-01
Zeliard,Game Arts,"Game Arts, Sierra On-Line","Platformer, Action RPG",DOS,1990
Zombie Driver,Exor Studios,Exor Studios,Vehicular combat,Microsoft Windows,17-Oct-12
ZoMGman! Battle Arena,Tristan Nishimoto,Tristan Nishimoto,Co-op Battle Arena,Microsoft Windows,26-Jun-07
ZoMGman! 2,Tristan Nishimoto,Tristan Nishimoto,Co-op Battle Arena,Microsoft Windows,7-Nov-08
Zoo Tycoon,Blue Fang Games,Microsoft Game Studios,Business simulation,"Microsoft Windows, macOS",17-Oct-01
Zoo Tycoon 2,"Blue Fang Games, MacSoft, Rapan","Microsoft Game Studios, MacSoft",Business simulation,"Microsoft Windows, macOS",Nov-04
Zoo Tycoon 2: African Adventure,Blue Fang Games,Microsoft Game Studios,Business simulation,"Microsoft Windows, macOS",May-06
Zoo Tycoon 2: Dino Danger Pack,Blue Fang Games,Microsoft Game Studios,Business simulation,"Microsoft Windows, macOS",Jul-06
Zoo Tycoon 2: Endangered Species,Blue Fang Games,Microsoft Game Studios,Business simulation,"Microsoft Windows, macOS",Oct-05
Zoo Tycoon 2: Extinct Animals,Blue Fang Games,Microsoft Game Studios,Business simulation,"Microsoft Windows, macOS",17-Oct-07
Zoo Tycoon 2: Marine Mania,Blue Fang Games,Microsoft Game Studios,Business simulation,"Microsoft Windows, macOS",17-Oct-06
Zork: Grand Inquisitor,Activision,Activision,Adventure,"Microsoft Windows, macOS",31-Oct-97
Zork Zero,Infocom,Infocom,interactive fiction,"Amiga, Apple II, MS-DOS, macOS",19-Oct-88
Zuma's Revenge!,PopCap Games,PopCap Games,Puzzle,"Microsoft Windows, macOS",15-Sep-09
Zup!,Quiet River,Quiet River,Puzzle,Microsoft Windows,4-Oct-16
Zup! 2,Quiet River,Quiet River,Puzzle,Microsoft Windows,5-Dec-16
Zup! 3,Quiet River,Quiet River,Puzzle,Microsoft Windows,12-Jan-17
Zup! 4,Quiet River,Quiet River,Puzzle,Microsoft Windows,20-Feb-17
Zup! 5,Quiet River,Quiet River,Puzzle,Microsoft Windows,13-Jun-17
Zup! 6,Quiet River,Quiet River,Puzzle,Microsoft Windows,19-Sep-17
Zup! 7,Quiet River,Quiet River,Puzzle,Microsoft Windows,12-Dec-17
Zup! 8,Quiet River,Quiet River,Puzzle,Microsoft Windows,22-Feb-18
Zup! Arena,Quiet River,Quiet River,"Action, MMO",Microsoft Windows,3-Dec-18
Zup! X,Quiet River,Quiet River,Puzzle,Microsoft Windows,17-May-18
Zup! Zero,Quiet River,Quiet River,Puzzle,Microsoft Windows,6-Apr-17
Zup! Zero 2,Quiet River,Quiet River,Puzzle,Microsoft Windows,11-Sep-18
ZZT,Potomac Computer Systems,Potomac Computer Systems,"Action-adventure, Puzzle",MS-DOS,Oct-91
_summer,Hooksoft,Hook,Visual novel,Microsoft Windows,15-Jul-05
0 A.D.,Wildfire Games,Wildfire Games,RTS,"Microsoft Windows, Linux, macOS",16-Aug-10
007 Legends,Eurocom,Activision,First-person shooter,Microsoft Windows,2-Nov-12
007: Licence to Kill,Quixel,Domark,Top-down shooter,MS-DOS,20-Apr-89
007: Quantum of Solace,"Treyarch, Beenox","Activision, Square Enix",First-person shooter,Microsoft Windows,31-Oct-08
1-0 Soccer Manager,New Era Software,Wizard Games,"Sports, management",MS-DOS,1992
101 Dalmatians: Escape from DeVil Manor,DreamForge Intertainment,Disney Interactive,"Action, adventure, strategy",Microsoft Windows,1997
102 Dalmatians: Puppies to the Rescue,Crystal Dynamics,Disney Interactive,Platform,Microsoft Windows,2000
10th Frame,Access Software,US Gold,Sports,MS-DOS,1986
18 Wheels of Steel: Haulin',SCS Software,ValuSoft,Vehicle simulation,Microsoft Windows,8-Dec-06
180,"Ste Pickford, David Whittaker",Mastertronic Added Dimension,Sports,Commodore 64,1986
1830: Railroads & Robber Barons,Simtex,Avalon Hill,RTS,MS-DOS,1995
1869,Max Design,Max Design,Strategy,MS-DOS,1992
1914 Shells of Fury,Randomeida,Strategy First,Simulation,Microsoft Windows,14-Aug-07
1942: The Pacific Air War,Microprose,Microprose,Flight simulator,MS-DOS,1994
221B Baker Street,Datasoft,Datasoft,Puzzle,MS-DOS,1987
2400 A.D.,Origin Systems,Origin Systems,Adventure,"MS-DOS, Apple II",1987
3D Construction Kit,Incentive Software,Domark,Simulation,MS-DOS,1-Jul-91
3D Construction Kit II,Incentive Software,Domark,Simulation,MS-DOS,10-Nov-92
3D Maze Man: Amazing Adventures,Webfoot Technologies,eGames Inc,Arcade,MS-DOS,1998
3DiTeams,"Duke University Medical Center, Virtual Heroes, Inc.","Duke University Medical Center, Virtual Heroes, Inc.",Serious game,Microsoft Windows,1-Nov-07
4D Sports Boxing,Distinctive Software,Mindscape,Sports,"Amiga, DOS, Atari ST, macOS",15-Jun-91
4D Sports Tennis,Distinctive Software,Mindscape,Sports,DOS,1990
4Story,Zemi Interactive,Gameforge,MMORPG,Microsoft Windows,2008
4x4 Hummer,Avalon Entertainment,"505 Games, 1C Company",Racing,Microsoft Windows,15-Jun-09
4x4 Off-Road Racing,Odan MicroDesign,Epyx,Racing,"Amstrad CPC, Atari ST, Amiga, DOS, Commodore 64, MSX, ZX Spectrum",1988
5,Ram,Visual Art's,"Eroge, visual novel",Microsoft Windows,25-Jul-08
50 Mission Crush,John Gray,"Strategic Simulations, Inc",RPG,"Apple II, Atari 8-bit family, Commodore 64, DOS",1984
500cc Grand Prix,MicroÃ¯ds,MicroÃ¯ds,Racing,"Amstrad CPC, Atari ST, Commodore C64/128",1987
688(I) Hunter/Killer,Sonalysts Inc.,Electronic Arts,Submarine simulator,Microsoft Windows,4-Jul-97
7 Colors,Gamos Ltd.,Infogrames,Strategy,"Amiga, DOS",1991
7554,Emobi Games,Emobi Games,First-person shooter,Microsoft Windows,16-Dec-11
7th Legion,"Vision, Epic MegaGames",MicroProse,RTS,Microsoft Windows,30-Sep-97
9: The Last Resort,Tribeca Interactive,GT Interactive,Adventure game,"Microsoft Windows, macOS",30-Sep-96
