Name,Developer,Producer,Genre,Operating System,Date Released
Scrolls,Mojang,Mojang,Tactical CCG,"Microsoft Windows, macOS",11-Nov-14
Secret of the Silver Blades,"Strategic Simulations, Inc.","Strategic Simulations, Inc., Pony Canyon, Inc.","Fantasy, RPG","DOS, macOS, Commodore 64, Amiga, NEC PC-9801",20-Oct-90
The Secret World,Funcom,Electronic Arts,MMORPG,Microsoft Windows,3-Jul-12
Sengoku,Paradox Development Studios,Paradox Interactive,Grand strategy,"Microsoft Windows, macOS",13-Sep-11
The Settlers,Blue Byte Software,Blue Byte Software,"City-building game, Real-Time Strategy","Amiga, MS-DOS",30-Jun-93
The Settlers II,Blue Byte Software,Blue Byte Software,"City-building game, Real-Time Strategy","MS-DOS, Macintosh",17-Apr-96
The Settlers III,Blue Byte Software,Blue Byte Software,"City-building game, Real-Time Strategy",Microsoft Windows,20-Nov-98
The Settlers IV,Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy","Microsoft Windows,",15-Feb-01
The Settlers: Heritage of Kings,Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy",Microsoft Windows,25-Nov-04
The Settlers II (10th Anniversary),Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy",Microsoft Windows,7-Nov-06
The Settlers: Rise of an Empire,Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy",Microsoft Windows,28-Nov-07
The Settlers: Awakening of Cultures,Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy",Microsoft Windows,28-Aug-08
The Settlers 7: Paths to a Kingdom,Blue Byte Software,Ubi Soft,"City-building game, Real-Time Strategy","Microsoft Windows, macOS",25-Mar-10
Shadow of the Tomb Raider,Eidos Montr̩al,Square Enix,action-adventure,Microsoft Windows,14-Sep-18
The Ship,Outlight,Outlight,First-person shooter,Microsoft Windows,9-Apr-07
Shogun: Total War,The Creative Assembly,"Electronic Arts, Sega, Sold-Out Software","Turn-based strategy, real-time tactics",Microsoft Windows,13-Jun-00
ShootMania Storm,Nadeo,Ubisoft,First-person shooter,Microsoft Windows,10-Apr-13
Sid Meier's Railroads!,"Firaxis Games, Feral Interactive","2K Games, Feral Interactive",Business simulation,"Microsoft Windows, macOS",17-Oct-06
Silent Hunter,Aeon Electronic Entertainment,Strategic Simulations,Submarine simulator,DOS,1996
Silent Hunter II,Aeon Electronic Entertainment,Ubisoft,Submarine simulator,Microsoft Windows,6-Nov-01
Silent Hunter III,Ubisoft Bucharest,Ubisoft,Submarine simulator,Microsoft Windows,15-Mar-05
Silent Hunter 4: Wolves of the Pacific,Ubisoft Bucharest,Ubisoft,Submarine simulator,Microsoft Windows,20-Mar-07
